SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
苏大维格,2018-01-01,苏州苏大维格科技集团股份有限公司,1.091,6.3623,300331,134.372,2018-12-31,3.096,0.576,4.24,3.712,0.269747,1133705989.11,2.902,13.777,52857067.07,1.383,44.71,2.798,30.813,20.081,1.864
苏大维格,2019-01-01,苏州苏大维格科技集团股份有限公司,1.071,6.699,300331,90.014,2019-12-31,4.446,0.572,6.662,3.572,0.446309,1297169218.28,2.795,16.505,103608952.77,1.018,22.671,2.521,37.576,14.418,1.43
南大光电,2018-01-01,江苏南大光电材料股份有限公司,0.23,4.3392,300346,537.873,2018-12-31,3.635,0.162,4.318,1.026,0.187379,228174901.45,1.06,9.535,55478179.84,12.679,275.267,2.714,17.515,28.757,14.311
南大光电,2019-01-01,江苏南大光电材料股份有限公司,0.289,2.9977,300346,244.561,2019-12-31,2.985,0.174,4.51,0.867,0.135199,321375774.07,1.519,50.109,61701255.64,2.814,171.708,2.733,37.947,40.846,3.128
永贵电器,2018-01-01,浙江永贵电器股份有限公司,0.76,6.0452,300351,264.091,2018-12-31,-14.673,0.419,-19.729,2.164,-1.192678,1310268163.44,2.851,-14.081,-485519777.76,3.175,57.595,1.8,17.098,3.139,3.812
永贵电器,2019-01-01,浙江永贵电器股份有限公司,0.644,4.9006,300351,275.726,2019-12-31,-16.219,0.408,-22.861,1.953,-1.12031,1080292796.82,2.328,-16.577,-458936983.61,2.926,98.512,1.676,20.2,-17.552,3.657
东土科技,2018-01-01,北京东土科技股份有限公司,0.677,4.3382,300353,183.693,2018-12-31,2.959,0.298,4.232,7.374,0.183603,954521594.59,3.452,10.003,92675072.61,1.904,43.863,1.36,32.432,16.256,2.112
东土科技,2019-01-01,北京东土科技股份有限公司,0.481,3.3652,300353,186.431,2019-12-31,-13.303,0.246,-25.673,3.213,-0.863944,815987277.81,2.704,-2.482,-445909241.18,1.944,57.688,0.983,47.021,-14.513,2.151
ST网力,2018-01-01,东方网力科技股份有限公司,0.454,4.6454,300367,99.603,2018-12-31,4.344,0.31,7.925,9.958,0.368161,2247336257.04,2.409,32.282,313522404.97,1.331,24.471,0.993,51.541,21.168,1.453
ST网力,2019-01-01,东方网力科技股份有限公司,0.09,0.6202,300367,61.643,2019-12-31,-52.073,0.058,-430.576,1.346,-2.670469,353502239.04,0.759,-51.305,-3191084086.11,0.781,11.15,0.195,81.054,-84.27,0.856
扬杰科技,2018-01-01,扬州扬杰电子科技股份有限公司,0.951,5.0887,300373,118.117,2018-12-31,5.554,0.549,7.797,2.452,0.396776,1851783480.24,4.767,5.157,188465371.77,1.64,26.327,3.589,27.821,26.014,1.985
扬杰科技,2019-01-01,扬州扬杰电子科技股份有限公司,1.131,5.3871,300373,136.449,2019-12-31,6.444,0.574,8.852,2.058,0.476884,2007075029,4.38,2.023,220442416.24,1.77,52.065,3.35,25.254,8.386,2.182
艾比森,2018-01-01,深圳市艾比森光电股份有限公司,1.482,3.9726,300389,130.076,2018-12-31,12.294,1.015,18.936,5.352,0.752254,1986731435.06,3.82,17.576,235207958.83,1.346,60.758,3.836,39.883,28.393,1.788
